DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
78.3,0.1,356.3,0.3,18.2,26,0,400,23.5,4.8,0.1,428.6,0,4.4,0,0.2,611,0,0,3.9,0,8.3,7.3,0,0,0.4,0.3,4.6,0.9,6,0.3,67,0,8
81.6,0.1,389.6,0.4,20.4,49.2,0.3,200,24.3,5.2,0.1,458.1,0,1.4,0,0.1,653.3,0,0,3.9,0,8.6,7.4,0,0,0.9,0.3,5.7,0.9,6.4,0.3,71.4,0.1,4
81.4,0.2,340.3,0.3,19.1,44.5,0.1,900,23,5.8,0.2,382.2,0,2.4,0,0.2,545.7,0,0,6.3,0.1,8.1,7.4,0,0,0.1,0.4,5.5,2.7,5.7,0.3,62.8,0,18
86.3,0.1,342.2,0.4,21,53,0.1,1000,26.5,5.8,0.2,412.6,0,37.7,0,0.2,588,0,0,2.6,0,8.8,7.7,0,0,0,0.3,5.5,2.5,5.8,0.4,69.2,0,20
0.3,0.1,9.3,0.2,0.9,0,0.1,400,3.6,1.8,0,19.8,0.7,3,0,0,29.9,0,0,2.2,0.1,0.3,5.6,0,0.1,0,0.3,1.6,0,0.2,0.1,0.8,0,16.3
0.3,0.1,7.8,0.2,0.8,0,0,400,3.6,1.9,0,18.9,0.5,2.5,0,0,27.6,0,0,3.1,0,0.3,5.3,0,0,0,0.2,1.6,0,0.1,0.1,0.7,0,16.5
0.2,0.1,8.4,0.2,0.8,1.8,0.1,400,3.6,1.9,0,19.2,0.5,5.8,0,0,29,0,0,0.3,0.1,0.3,5.3,0,0,0,0.3,1.7,0,0.1,0.1,0.7,0,16.7
0.4,0.1,2.3,0.1,0.5,0,0,0,2.9,1.8,0,26.6,0.3,5.5,0,0,17.9,0,0,1.3,0.1,0,5.2,0,0.4,0,0.3,2.2,0,0.3,0.1,0.3,0,0
0.5,0.1,9.7,0.2,1.1,0,0,0,3,1.7,0,34.8,0.2,2.2,0,0,22.7,0,0,1.2,0.1,0,5.2,0,0.4,0,0.3,1.8,0,0.3,0.1,0.3,0,0
0.4,0,8.3,0.1,0.6,0,0,0,3.1,1.9,0,39.5,0.2,2,0,0,19.8,0,0,1.4,0.1,0,5.5,0,0.4,0,0.3,1.7,0,0.2,0.1,0.6,0,0
0.3,0,7.3,0.2,0.8,0.1,0,0,3.5,1.8,0,16.4,0.1,3,0,0,24.9,0,0,2.4,0.1,0.2,5.2,0,0.1,0,0.2,2.1,0,0.2,0.2,0.7,0,0
0.2,-0.1,5.7,0.2,0.8,0.1,0,100.1,3.5,1.8,0,17,0.2,3,0,0,24.6,0,0,3.4,0.1,0.2,5,0,0.1,0,0.2,8.1,0,0.1,0.1,0.7,0,4.1
0.4,-0.1,6.2,0.2,0.8,0.1,0,0,3.5,1.8,0,17,0.1,2.5,0,0,25.6,0,0,3.6,0,0.2,5.5,0,0.1,0,0.2,1.7,0,0.2,0.2,0.8,0,0
0.3,0.1,9.7,0.1,0.8,0.1,0,100,3.8,2.3,0,20.1,0.1,2.5,0,0,28.5,0,0,1.9,0.1,0.2,5,0,0,0,0.3,2.2,0.1,0.2,0.2,0.7,0,4
0.2,0.1,8.5,0.1,0.8,0.1,0,0,3.8,1.7,0,19.9,0.1,2.8,0,0,29.8,0,0,2.7,0.1,0.2,5,0,0,0,0.3,2.5,0.1,0.2,0.1,0.8,0,0
