agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,9510200,60,5732,6,25,2016,2020,5,2020,0.17,2016,0,0.05,,,0,0,0,0.12,0.15,,
USGS,9510200,60,5732,6,26,2016,2020,5,2020,0.14,2016,0,0.04,,,0,0,0,0.11,0.13,,
USGS,9510200,60,5732,6,27,2016,2020,5,2020,0.13,2016,0,0.04,,,0,0,0,0.1,0.12,,
USGS,9510200,60,5732,6,28,2016,2020,5,2020,0.11,2016,0,0.04,,,0,0,0,0.09,0.1,,
USGS,9510200,60,5732,6,29,2016,2020,5,2020,0.11,2016,0,0.04,,,0,0,0,0.09,0.1,,
USGS,9510200,60,5732,6,30,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.08,0.1,,
USGS,9510200,60,5732,7,1,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.07,0.1,,
USGS,9510200,60,5732,7,2,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.08,0.1,,
USGS,9510200,60,5732,7,3,2016,2020,5,2020,0.12,2016,0,0.03,,,0,0,0,0.08,0.1,,
USGS,9510200,60,5732,7,4,2016,2020,5,2020,0.12,2016,0,0.03,,,0,0,0,0.08,0.1,,
USGS,9510200,60,5732,7,5,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.07,0.1,,
USGS,9510200,60,5732,7,6,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.07,0.1,,
USGS,9510200,60,5732,7,7,2016,2020,5,2020,0.11,2016,0,0.03,,,0,0,0,0.07,0.1,,
USGS,9510200,60,5732,7,8,2016,2020,5,2020,0.1,2016,0,0.03,,,0,0,0,0.07,0.09,,
USGS,9510200,60,5732,7,9,2016,2020,5,2020,0.09,2016,0,0.02,,,0,0,0,0.06,0.08,,
USGS,9510200,60,5732,7,10,2016,2020,5,2020,0.09,2016,0,0.02,,,0,0,0,0.06,0.08,,
USGS,9510200,60,5732,7,11,2016,2020,5,2020,0.09,2016,0,0.02,,,0,0,0,0.06,0.08,,
USGS,9510200,60,5732,7,12,2016,2020,5,2020,0.08,2016,0,0.02,,,0,0,0,0.06,0.07,,
USGS,9510200,60,5732,7,13,2016,2020,5,2020,0.08,2016,0,0.02,,,0,0,0,0.06,0.07,,
USGS,9510200,60,5732,7,14,2016,2020,5,2020,0.08,2016,0,0.02,,,0,0,0,0.06,0.07,,
USGS,9510200,60,5732,7,15,2016,2020,5,2020,0.07,2016,0,0.02,,,0,0,0,0.05,0.06,,
USGS,9510200,60,5732,7,16,2016,2020,5,2020,0.07,2016,0,0.02,,,0,0,0,0.05,0.06,,
USGS,9510200,60,5732,7,17,2016,2020,5,2020,0.07,2016,0,0.02,,,0,0,0,0.05,0.06,,
USGS,9510200,60,5732,7,18,2016,2020,5,2017,0.23,2016,0,0.06,,,0,0,0.02,0.15,0.2,,
USGS,9510200,60,5732,7,19,2016,2020,5,2020,0.06,2016,0,0.02,,,0,0,0,0.04,0.05,,
USGS,9510200,60,5732,7,20,2016,2020,5,2020,0.06,2016,0,0.02,,,0,0,0,0.04,0.05,,
USGS,9510200,60,5732,7,21,2016,2020,5,2020,0.06,2016,0,0.02,,,0,0,0,0.04,0.05,,
USGS,9510200,60,5732,7,22,2016,2020,5,2020,0.06,2016,0,0.02,,,0,0,0,0.04,0.05,,
USGS,9510200,60,5732,7,23,2016,2020,5,2020,0.06,2016,0,0.02,,,0,0,0,0.04,0.05,,
USGS,9510200,60,5732,7,24,2016,2020,5,2020,2.54,2016,0,0.51,,,0,0,0,1.3,2,,
USGS,9510200,60,5732,7,25,2016,2020,5,2020,9.05,2016,0,1.8,,,0,0,0,4.5,7.2,,
USGS,9510200,60,5732,7,26,2016,2020,5,2020,0.62,2016,0,0.13,,,0,0,0,0.32,0.5,,
USGS,9510200,60,5732,7,27,2016,2020,5,2020,0.06,2016,0,0.01,,,0,0,0,0.03,0.05,,
USGS,9510200,60,5732,7,28,2016,2020,5,2020,0.06,2016,0,0.01,,,0,0,0,0.03,0.05,,
USGS,9510200,60,5732,7,29,2016,2020,5,2020,0.05,2016,0,0.01,,,0,0,0,0.03,0.04,,
USGS,9510200,60,5732,7,30,2016,2020,5,2020,0.05,2016,0,0.01,,,0,0,0,0.03,0.04,,
